std_income,std_investment,stress_q1,stress_q2,stress_q3,stress_q4,stress_q5,scws,income,investment
-0.7246996191279923,-0.13665054871783797,-2,-1,-0,-1,-2,42,16.37650190436004,9.590048353846486
0.6430237303600193,0.25834081867413045,-1,-1,-0,-1,-1,41,23.215118651800097,10.775022456022391
-0.731145454630035,-1.2890750793864143,-0,-1,-1,-1,0,51,16.344272726849823,6.132774761840757
-0.040454638084439776,-0.04951036393517486,0,1,1,1,0,51,19.7977268095778,9.851468908194475
1.7817142962299817,0.6025178232588698,0,0,0,-0,-0,47,28.908571481149906,11.80755346977661
-0.7837280248271774,-0.44633344137620584,0,0,1,0,1,38,16.081359875864113,8.660999675871382
1.1348118090006076,1.486431599975976,-2,-2,-2,-2,-2,54,25.674059045003037,14.459294799927928
-0.5435713128712379,1.3625047799757106,-2,-2,-1,-2,-1,50,17.28214343564381,14.087514339927132
0.9260336308534457,0.4328033298927794,-2,-2,-2,-2,-2,47,24.630168154267228,11.298409989678339
1.1629475425739808,0.8588069047935694,-1,-1,-0,-1,-1,40,25.814737712869906,12.576420714380708
0.4658302030860086,-0.8033067794183106,1,1,1,2,1,47,22.329151015430043,7.590079661745068
-0.9110506296735,-1.1579749028621489,1,-0,0,1,1,47,15.4447468516325,6.526075291413553
-0.9159972350317563,-1.266365277382109,-1,-0,-0,-1,-1,41,15.420013824841218,6.200904167853673
-0.47113303834146714,-1.1437287396923288,2,2,1,1,2,41,17.644334808292665,6.568813780923014
-0.43078007696732945,0.313678363088279,-0,0,-1,-0,-1,50,17.846099615163354,10.941035089264837
0.9695823320348391,2.2034244416241777,-1,-1,-1,-0,0,49,24.847911660174198,16.610273324872534
0.6393945133259968,-0.3000577339593025,1,1,0,-0,-0,40,23.196972566629984,9.099826798122093
1.445808393798278,0.3052338540953631,-0,-1,-1,-1,-0,40,27.22904196899139,10.91570156228609
1.1181135193958611,1.4710148778509078,-0,-1,-1,-1,-1,54,25.590567596979305,14.413044633552722
-0.8576087961429217,-1.1372074553709133,1,1,1,1,1,39,15.711956019285392,6.58837763388726
-0.4118959874966935,-1.3530431886689214,2,1,1,1,1,27,17.940520062516534,5.940870433993236
-1.1796999170253173,-0.6102746463046813,1,1,1,1,1,31,14.101500414873414,8.169176061085956
0.2575085041764235,0.7300226612837636,-1,-2,-1,-2,-1,43,21.287542520882116,12.190067983851291
0.9942091486665591,0.3494741234034265,-1,-2,-1,-1,-1,49,24.971045743332795,11.048422370210279
-1.6427347197289746,-1.975279647680622,-1,-0,0,-1,-1,41,11.786326401355128,4.074161056958134
0.02106647290247757,-0.5858468828931522,-1,-0,0,-0,-0,50,20.10533236451239,8.242459351320543
1.2809372314661693,1.0854104161880664,-2,-1,-2,-2,-2,58,26.404686157330847,13.256231248564198
0.6489247376440379,0.47754579683785475,-2,-2,-2,-2,-1,46,23.24462368822019,11.432637390513564
-0.38276359928809484,0.052454599716093425,2,2,1,2,2,41,18.086182003559525,10.15736379914828
0.3053942487287471,-0.016366127716017788,0,1,0,1,0,47,21.526971243643736,9.950901616851947
0.3098991227828573,0.17898583272229135,-0,-0,0,-0,0,50,21.549495613914285,10.536957498166874
-0.15020575921297877,0.3119619266057831,-3,-2,-3,-3,-3,52,19.248971203935106,10.93588577981735
0.8970282981425814,0.09874633425367482,-2,-2,-2,-2,-2,51,24.485141490712905,10.296239002761025
1.1173064374654171,1.1478108344012714,-2,-2,-1,-2,-2,57,25.586532187327087,13.443432503203814
-1.4065645619824123,-0.23677156970727456,1,1,0,1,1,48,12.967177190087938,9.289685290878177
0.05214286702995448,0.3021730225038938,1,1,1,0,1,48,20.26071433514977,10.906519067511681
-1.2751359232884092,-1.0879177859777713,-1,-1,-0,-0,-0,45,13.624320383557954,6.7362466420666856
-1.8800347975705283,-0.9917458669521886,1,1,1,1,1,47,10.599826012147359,7.024762399143434
-1.1791678283632976,-1.0266853734767607,-0,-0,0,-0,-0,49,14.104160858183512,6.919943879569718
2.121818593145365,1.4934840700104637,1,1,2,1,1,51,30.609092965726823,14.480452210031391
-0.6244694099590963,0.03186634236427071,-0,1,1,1,-0,44,16.877652950204517,10.095599027092812
0.7776339467522856,0.4768685947540873,-1,-2,-2,-2,-1,53,23.88816973376143,11.430605784262262
